Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1760268415,0,0,0,0.327,0,0,0,0,0,0,0,0,-4,0,0,0,0,0,0
1760268416,0.5921052631578947,0.6447368421052632,0,0,0,1.53,0,0,0,0,78,0,-3.8,0,0,0,0,0,0
1760268417,1.3157894736842106,0.6447368421052632,0,0.588,0,3.63,0,0,0,1522,90,0,-3.8,0,0,0,0,0,0
1760268418,1.644736842105263,0.7631578947368421,0.013157894736842105,1.409,0,6.04,0,0,0,1042,112,5.5,-3.8,0,0,0,0,0,7.286505392013989
1760268419,2.1052631578947367,0.8157894736842105,0.013157894736842105,1.997,0,8.81,0,9.5,0.125,852,118,5.87,-3.8,0,0,0,0,0,5.78085915187804
1760268420,2.25,0.8157894736842105,0.02631578947368421,2.333,0,12.39,0,9.5,0.125,654,130,5.87,-4,0,0,0,0,0,5.451489175961441
1760268421,2.3289473684210527,0.8552631578947368,0.039473684210526314,2.659,0,15.41,0,10.625,0.13980263157894737,596,134,6,-4,0,0,0,0,0,5.039475894506971
1760268422,2.8157894736842106,0.8552631578947368,0.039473684210526314,3.135,0,18.56,0,10.625,0.13980263157894737,432,152,6.12,-4,0,0,0,0,0,4.945454545454545
1760268423,3.1052631578947367,0.9342105263157895,0.05263157894736842,3.135,0,21.72,0,11.625,0.15296052631578946,272,172,6.12,-4,0,0,0,0,0,5.596196049743965
1760268424,3.3552631578947367,0.9605263157894737,0.05263157894736842,3.135,0,24.97,0,12.375,0.16282894736842105,244,180,6.37,-3.8,0,0,0,0,0,6.095693779904307
1760268425,3.4210526315789473,0.9605263157894737,0.06578947368421052,3.163,0,28.35,0,12.375,0.16282894736842105,242,178,6.37,-3.8,0,0,0,0,0,5.974600911665949
