Timestamp,Power (w/kg),Form Power (w/kg),Air Power (w/kg),Watch Speed (m/s),Stryd Speed (m/s),Watch Distance (meters),Stryd Distance (meters),Stiffness,Stiffness/kg,Ground Time (ms),Cadence (spm),Vertical Oscillation (cm),Watch Elevation (m),Stryd Elevation (m),Ground Time Balance,Vertical Oscillation Balance,Leg Spring Stiffness Balance,Impact Loading Rate Balance,Vertical Ratio
1757846393,3.3815789473684212,0.9342105263157895,0,0.69,0,0,0,10.875,0.14309210526315788,248,184,6.5,-2.4,0,0,0,0,0,28.88888888888889
1757846394,3.486842105263158,0.9605263157894737,0,0,0,2.57,0,11.375,0.14967105263157895,238,184,6.5,-2.8,0,0,0,0,0,0
1757846395,3.5789473684210527,0.9605263157894737,0.07894736842105263,2.361,0,4.93,0,11.375,0.14967105263157895,230,186,6.25,-2.8,0,0,0,0,0,8.20629981223986
1757846396,3.8947368421052633,0.9736842105263158,0.07894736842105263,2.361,0,8.31,0,11.125,0.14638157894736842,226,186,6.37,-2.8,0,0,0,0,0,8.363860768634865
1757846397,3.9473684210526314,0.9868421052631579,0.07894736842105263,2.37,0,11.65,0,11.25,0.14802631578947367,222,186,6.5,-2.8,0,0,0,0,0,8.502066656202585
1757846398,4.144736842105263,0.9868421052631579,0.07894736842105263,3.247,0,15.45,0,11.25,0.14802631578947367,216,186,6.5,-2.8,0,0,0,0,0,6.205724542208474
1757846399,4.342105263157895,1.0263157894736843,0.07894736842105263,3.499,0,18.9,0,11.75,0.15460526315789475,210,184,6.75,-2.8,0,0,0,0,0,5.915966975757682
1757846400,4.407894736842105,1.0394736842105263,0.07894736842105263,3.564,0,22.46,0,11.625,0.15296052631578946,208,184,6.87,-2.6,0,0,0,0,0,5.911355481556055
1757846401,4.434210526315789,1.0394736842105263,0.07894736842105263,3.564,0,25.39,0,11.625,0.15296052631578946,204,184,7.12,-2.6,0,0,0,0,0,6.126470309851399
1757846402,4.407894736842105,1.0526315789473684,0.07894736842105263,3.564,0,28.47,0,11.875,0.15625,204,182,7.12,-2.6,0,0,0,0,0,6.059832333290779
1757846403,4.421052631578948,1.0526315789473684,0.07894736842105263,3.34,0,31.45,0,11.875,0.15625,204,182,7.25,-2.4,0,0,0,0,0,6.584324766142948
1757846404,4.315789473684211,1.0526315789473684,0.07894736842105263,3.312,0,34.8,0,11.875,0.15625,206,182,7.25,-2.4,0,0,0,0,0,6.639984613552896
1757846405,4.2894736842105265,1.0526315789473684,0.07894736842105263,2.976,0,38.49,0,11.625,0.15296052631578946,208,182,7.12,-2.4,0,0,0,0,0,7.2571603302415655
1757846406,4.302631578947368,1.0526315789473684,0.07894736842105263,2.976,0,42.61,0,11.625,0.15296052631578946,208,182,7.12,-2.2,0,0,0,0,0,7.2571603302415655
1757846407,4.315789473684211,1.0526315789473684,0.07894736842105263,2.976,0,46.61,0,11.625,0.15296052631578946,208,182,7.12,-2.2,0,0,0,0,0,7.2571603302415655
1757846408,4.342105263157895,1.0526315789473684,0.07894736842105263,3.294,0,50.46,0,11.375,0.14967105263157895,210,182,7.12,-2.2,0,0,0,0,0,6.556592045527796
1757846409,4.355263157894737,1.0526315789473684,0.07894736842105263,3.555,0,55.27,0,11.375,0.14967105263157895,210,180,7.12,-2.2,0,0,0,0,0,6.0084388185654
1757846410,4.381578947368421,1.0526315789473684,0.06578947368421052,3.555,0,59.11,0,11.375,0.14967105263157895,212,182,7.12,-2.2,0,0,0,0,0,6.075188996399256
1757846411,4.421052631578948,1.0526315789473684,0.06578947368421052,3.732,0,62.83,0,11.125,0.14638157894736842,212,180,7.12,-2.2,0,0,0,0,0,5.72347266881029
1757846412,4.526315789473684,1.0526315789473684,0.06578947368421052,3.732,0,66.76,0,11.125,0.14638157894736842,212,182,7.12,-2,0,0,0,0,0,5.787065258914275
1757846413,4.565789473684211,1.0526315789473684,0.06578947368421052,3.732,0,71.2,0,10.875,0.14309210526315788,210,182,7.12,-2,0,0,0,0,0,5.787065258914275
1757846414,4.578947368421052,1.0526315789473684,0.06578947368421052,3.751,0,75.24,0,11,0.14473684210526316,210,182,7.12,-2.2,0,0,0,0,0,5.757769349582319
1757846415,4.565789473684211,1.0526315789473684,0.06578947368421052,3.807,0,78.7,0,11,0.14473684210526316,208,182,7.12,-2,0,0,0,0,0,5.673080753754831
1757846416,4.526315789473684,1.0526315789473684,0.14473684210526316,3.807,0,82.39,0,10.875,0.14309210526315788,208,182,7.12,-2,0,0,0,0,0,5.673080753754831
1757846417,4.552631578947368,1.0657894736842106,0.14473684210526316,3.807,0,86.31,0,11.125,0.14638157894736842,206,182,7.12,-2,0,0,0,0,0,5.673080753754831
1757846418,4.552631578947368,1.0657894736842106,0.15789473684210525,3.807,0,90.39,0,11.125,0.14638157894736842,204,182,7.25,-2,0,0,0,0,0,5.776662284371141
1757846419,4.552631578947368,1.0657894736842106,0.15789473684210525,3.816,0,95.05,0,11.125,0.14638157894736842,206,182,7.25,-2,0,0,0,0,0,5.763024435223605
1757846420,4.552631578947368,1.0657894736842106,0.15789473684210525,3.844,0,99.62,0,11.125,0.14638157894736842,206,182,7.25,-2,0,0,0,0,0,5.721049516669955
1757846421,4.565789473684211,1.0657894736842106,0.17105263157894737,3.882,0,104.04,0,11.125,0.14638157894736842,206,180,7.25,-2,0,0,0,0,0,5.602782071097372
1757846422,4.592105263157895,1.0657894736842106,0.17105263157894737,3.91,0,107.68,0,11.125,0.14638157894736842,206,180,7.25,-2,0,0,0,0,0,5.562674073335225
1757846423,4.578947368421052,1.0657894736842106,0.15789473684210525,3.91,0,111.08,0,11.125,0.14638157894736842,206,180,7.25,-2,0,0,0,0,0,5.562674073335225
1757846424,4.5131578947368425,1.0657894736842106,0.14473684210526316,3.91,0,114.45,0,11.375,0.14967105263157895,208,182,7.12,-2,0,0,0,0,0,5.523618901327375
1757846425,4.4868421052631575,1.0526315789473684,0.14473684210526316,3.844,0,118.58,0,11.25,0.14802631578947367,208,182,7.12,-1.8,0,0,0,0,0,5.618465180508976
1757846426,4.4868421052631575,1.0526315789473684,0.10526315789473684,3.835,0,122.5,0,11.25,0.14802631578947367,210,180,7.12,-1.8,0,0,0,0,0,5.569766805128566
1757846427,4.473684210526316,1.0526315789473684,0.10526315789473684,3.835,0,126.54,0,11.25,0.14802631578947367,210,180,7.12,-1.6,0,0,0,0,0,5.569766805128566
1757846428,4.447368421052632,1.0526315789473684,0.10526315789473684,3.844,0,130.62,0,11.375,0.14967105263157895,210,180,7.12,-1.6,0,0,0,0,0,5.556726214168091
1757846429,4.407894736842105,1.0526315789473684,0.11842105263157894,3.9,0,135.28,0,11.375,0.14967105263157895,212,180,7.12,-1.6,0,0,0,0,0,5.476923076923077
1757846430,4.407894736842105,1.0526315789473684,0.11842105263157894,4.012,0,139.53,0,11.375,0.14967105263157895,212,180,7.12,-1.6,0,0,0,0,0,5.324041186543337
1757846431,4.407894736842105,1.0526315789473684,0.11842105263157894,4.012,0,143.84,0,11.5,0.1513157894736842,212,180,7.12,-1.6,0,0,0,0,0,5.324041186543337
1757846432,4.407894736842105,1.0657894736842106,0.11842105263157894,4.022,0,148.16,0,11.5,0.1513157894736842,212,180,7.25,-1.6,0,0,0,0,0,5.407743889249405
1757846433,4.381578947368421,1.0657894736842106,0.10526315789473684,4.05,0,153.75999,0,11.5,0.1513157894736842,210,180,7.25,-1.4,0,0,0,0,0,5.37037037037037
1757846434,4.407894736842105,1.0657894736842106,0.10526315789473684,4.087,0,157.92,0,11.5,0.1513157894736842,210,180,7.25,-1.4,0,0,0,0,0,5.321764917457591
1757846435,4.407894736842105,1.0657894736842106,0.10526315789473684,4.217,0,162.31,0,11.25,0.14802631578947367,212,180,7.12,-1.4,0,0,0,0,0,5.065200224803831
1757846436,4.4605263157894735,1.0657894736842106,0.06578947368421052,4.236,0,165.92999,0,11.25,0.14802631578947367,212,180,7.12,-1.4,0,0,0,0,0,5.042492917847026
1757846437,4.473684210526316,1.0657894736842106,0.07894736842105263,4.217,0,170.67999,0,11.125,0.14638157894736842,212,180,7.12,-1.4,0,0,0,0,0,5.065200224803831
1757846438,4.473684210526316,1.0657894736842106,0.07894736842105263,4.189,0,175.13,0,11.125,0.14638157894736842,212,180,7.12,-1.4,0,0,0,0,0,5.099081162762384
1757846439,4.447368421052632,1.0657894736842106,0.07894736842105263,4.189,0,179.91,0,11.125,0.14638157894736842,214,180,7,-1.4,0,0,0,0,0,5.013141592603468
1757846440,4.447368421052632,1.0526315789473684,0.09210526315789473,4.189,0,185.84,0,10.75,0.14144736842105263,214,180,7,-1.4,0,0,0,0,0,5.013141592603468
1757846441,4.4605263157894735,1.0657894736842106,0.09210526315789473,4.208,0,190.50999,0,10.75,0.14144736842105263,212,180,7.12,-1.4,0,0,0,0,0,5.07603356455902
1757846442,4.5,1.0657894736842106,0.09210526315789473,4.329,0,194.86,0,10.75,0.14144736842105263,212,180,7.12,-1.4,0,0,0,0,0,4.934164934164934
1757846443,4.473684210526316,1.0657894736842106,0.13157894736842105,4.367,0,199.50999,0,10.875,0.14309210526315788,214,180,7.12,-1.4,0,0,0,0,0,4.891218476715189
1757846444,4.447368421052632,1.0657894736842106,0.13157894736842105,4.367,0,203.56,0,10.625,0.13980263157894737,214,180,7.12,-1.4,0,0,0,0,0,4.891218476715189
1757846445,4.421052631578948,1.0657894736842106,0.11842105263157894,4.367,0,207.72,0,10.625,0.13980263157894737,214,180,7.12,-1.4,0,0,0,0,0,4.891218476715189
1757846446,4.434210526315789,1.0657894736842106,0.10526315789473684,4.367,0,211.98,0,10.625,0.13980263157894737,212,180,7.12,-1.4,0,0,0,0,0,4.891218476715189
1757846447,4.4605263157894735,1.0657894736842106,0.10526315789473684,4.348,0,216.31,0,10.75,0.14144736842105263,212,180,7.25,-1.4,0,0,0,0,0,5.0023114128597355
1757846448,4.473684210526316,1.0657894736842106,0.07894736842105263,4.329,0,220.63,0,10.75,0.14144736842105263,214,180,7.12,-1.2,0,0,0,0,0,4.934164934164934
1757846449,4.4605263157894735,1.0657894736842106,0.06578947368421052,4.32,0,223.53,0,10.625,0.13980263157894737,214,180,7.25,-1.2,0,0,0,0,0,5.034722222222222
1757846450,4.552631578947368,1.0657894736842106,0.06578947368421052,4.311,0,227.81,0,10.625,0.13980263157894737,212,180,7.25,-1.2,0,0,0,0,0,5.045233124565066
1757846451,4.644736842105263,1.0657894736842106,0.10526315789473684,4.255,0,236.81,0,10.625,0.13980263157894737,212,180,7.25,-1,0,0,0,0,0,5.111645385770589
1757846452,4.7631578947368425,1.0657894736842106,0.11842105263157894,4.255,0,242.61,0,10.625,0.13980263157894737,212,180,7.25,-1,0,0,0,0,0,5.111645385770589
1757846453,4.75,1.0657894736842106,0.11842105263157894,4.311,0,247.37,0,10.75,0.14144736842105263,212,180,7.25,-1,0,0,0,0,0,5.045233124565066
1757846454,4.697368421052632,1.0657894736842106,0.13157894736842105,4.6,0,251.16,0,10.75,0.14144736842105263,214,180,7.12,-1,0,0,0,0,0,4.643488355409468
1757846455,4.644736842105263,1.0657894736842106,0.13157894736842105,4.6,0,255.63,0,10.625,0.13980263157894737,214,180,7.25,-1,0,0,0,0,0,4.72827114841554
1757846456,4.657894736842105,1.0657894736842106,0.13157894736842105,4.451,0,260.16,0,10.5,0.13815789473684212,214,180,7.12,-1,0,0,0,0,0,4.798910809007394
1757846457,4.644736842105263,1.0657894736842106,0.10526315789473684,4.451,0,264.82001,0,10.5,0.13815789473684212,216,178,7.25,-1,0,0,0,0,0,4.832238026047429
1757846458,4.565789473684211,1.0657894736842106,0.06578947368421052,4.488,0,269.10001,0,10.5,0.13815789473684212,216,178,7.12,-1,0,0,0,0,0,4.706473383967584
1757846459,4.5394736842105265,1.0789473684210527,0.06578947368421052,4.488,0,273.51999,0,10.5,0.13815789473684212,216,178,7.12,-1,0,0,0,0,0,4.706473383967584
1757846460,4.578947368421052,1.0789473684210527,0.05263157894736842,4.488,0,277.67999,0,10.5,0.13815789473684212,216,178,7.25,-1,0,0,0,0,0,4.792406184517554
1757846461,4.592105263157895,1.0789473684210527,0.05263157894736842,4.479,0,282.41,0,10.5,0.13815789473684212,216,178,7.25,-1.2,0,0,0,0,0,4.80202413596683
1757846462,4.5,1.0789473684210527,0.05263157894736842,4.488,0,286.70999,0,10.5,0.13815789473684212,214,178,7.25,-1.2,0,0,0,0,0,4.792406184517554
1757846463,4.447368421052632,1.0789473684210527,0.05263157894736842,4.507,0,291.23999,0,10.5,0.13815789473684212,216,178,7.25,-1.2,0,0,0,0,0,4.772217139171016
1757846464,4.407894736842105,1.0789473684210527,0.05263157894736842,4.535,0,295.06,0,10.5,0.13815789473684212,214,178,7.25,-1.2,0,0,0,0,0,4.742746868151637
1757846465,4.394736842105263,1.0789473684210527,0.05263157894736842,4.432,0,299.41,0,10.5,0.13815789473684212,214,180,7.25,-1.2,0,0,0,0,0,4.907502047612923
1757846466,4.394736842105263,1.0657894736842106,0.05263157894736842,4.432,0,303.5,0,10.5,0.13815789473684212,214,180,7.25,-1.2,0,0,0,0,0,4.907502047612923
1757846467,4.381578947368421,1.0657894736842106,0.05263157894736842,4.404,0,308.07999,0,10.5,0.13815789473684212,214,180,7.12,-1.2,0,0,0,0,0,4.8501362397820165
1757846468,4.394736842105263,1.0657894736842106,0.06578947368421052,4.413,0,312.70999,0,10.5,0.13815789473684212,214,180,7.12,-1.2,0,0,0,0,0,4.840244731475186
1757846469,4.434210526315789,1.0657894736842106,0.07894736842105263,4.413,0,317.17999,0,10.5,0.13815789473684212,212,180,7.25,-1.2,0,0,0,0,0,4.928619986403807
1757846470,4.434210526315789,1.0657894736842106,0.07894736842105263,4.488,0,321.01001,0,10.625,0.13980263157894737,212,180,7.12,-1.2,0,0,0,0,0,4.759358288770054
1757846471,4.407894736842105,1.0657894736842106,0.10526315789473684,4.488,0,325.16,0,10.625,0.13980263157894737,212,180,7.12,-1.2,0,0,0,0,0,4.759358288770054
1757846472,4.394736842105263,1.0657894736842106,0.10526315789473684,4.376,0,329.26001,0,10.75,0.14144736842105263,212,180,7.25,-1.2,0,0,0,0,0,4.970281146523888
1757846473,4.381578947368421,1.0657894736842106,0.09210526315789473,4.376,0,333.95001,0,10.75,0.14144736842105263,212,180,7.25,-1.2,0,0,0,0,0,4.970281146523888
1757846474,4.434210526315789,1.0657894736842106,0.09210526315789473,4.385,0,338.22,0,11,0.14473684210526316,210,180,7.25,-1.2,0,0,0,0,0,4.9600799085977
1757846475,4.434210526315789,1.0657894736842106,0.09210526315789473,4.432,0,342.48999,0,11,0.14473684210526316,210,180,7.25,-1.4,0,0,0,0,0,4.907502047612923
1757846476,4.434210526315789,1.0657894736842106,0.07894736842105263,4.432,0,346.51001,0,11,0.14473684210526316,208,180,7.12,-1.4,0,0,0,0,0,4.819505459172968
1757846477,4.4605263157894735,1.0657894736842106,0.07894736842105263,4.423,0,351.25,0,11,0.14473684210526316,208,180,7.25,-1.2,0,0,0,0,0,4.917487943676111
1757846478,4.552631578947368,1.0657894736842106,0.07894736842105263,4.423,0,355.72,0,11,0.14473684210526316,208,180,7.12,-1.2,0,0,0,0,0,4.829312297789505
1757846479,4.592105263157895,1.0657894736842106,0.10526315789473684,4.488,0,360.31,0,11,0.14473684210526316,208,180,7.25,-1.2,0,0,0,0,0,4.846256684491979
